EntryDate,ExitDate,Asset,Direction,EntryPrice,ExitPrice,StopLoss,Target,PositionSize,Contracts,GrossPnL,TransactionCost,NetPnL
2016-03-11,2016-03-11,6B,Bearish,1.4285,1.4330726782499998,1.4323565,1.4169305000000003,1.0,1.0,-285.79239062498374,7.0,-292.79239062498374
2016-03-18,2016-03-18,6B,Bearish,1.4478,1.4522922832499998,1.4515665,1.4365005,1.0,1.0,-280.76770312499,7.0,-287.76770312499
2016-03-23,2016-03-23,6B,Bearish,1.4225,1.4123528234999998,1.4262510000000002,1.4116469999999999,1.0,1.0,634.1985312500187,7.0,627.1985312500187
2016-03-30,2016-03-30,6B,Bearish,1.4388,1.44330879375,1.4425875000000001,1.4274375,1.0,1.0,-281.79960937499413,7.0,-288.79960937499413
2016-04-03,2016-04-04,6B,Bearish,1.4224,1.42725076875,1.4265375,1.4107875000000003,1.0,1.0,-303.1730468749938,7.0,-310.1730468749938
2016-04-07,2016-04-11,6B,Bearish,1.4135,1.4181817365,1.417473,1.401981,1.0,1.0,-292.60853125000204,7.0,-299.60853125000204
2016-05-04,2016-05-05,6B,Bearish,1.455,1.4461367070000004,1.458062,1.4454140000000004,1.0,1.0,553.9558124999788,7.0,546.9558124999788
2016-05-19,2016-05-19,6B,Bearish,1.4595,1.4632797742499999,1.4625485,1.4499545,1.0,1.0,-236.23589062499173,7.0,-243.23589062499173
2016-05-25,2016-05-25,6B,Bearish,1.4615,1.46522374575,1.4644915,1.4521255,1.0,1.0,-232.7341093749935,7.0,-239.7341093749935
2016-06-01,2016-06-01,6B,Bearish,1.4483,1.44054841425,1.4513904999999998,1.4398285000000002,1.0,1.0,484.47410937499376,7.0,477.47410937499376
2016-06-02,2016-06-02,6B,Bearish,1.4419,1.445874576,1.445152,1.4333,1.0,1.0,-248.41100000000392,7.0,-255.41100000000392
